Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
		OG_Kinderbad_Spiegel RGB_ABS	1/3/25					Auto
		OG_Kinderbad_Spiegel RM_EA	1/3/26					Auto
		OG_Kinderbad_Spiegel RM_DIM	1/3/27					Auto
		OG_Kinderbad_Spiegel RM_TWRGB	1/3/28					Auto
		OG_Kinderbad_Spiegel FEHLER	1/3/29					Auto
		OG_Arbeit_Deckenlicht EA	1/3/30					Auto
		OG_Arbeit_Deckenlicht DIM_REL	1/3/31					Auto
		OG_Arbeit_Deckenlicht DIM_ABS	1/3/32					Auto
		OG_Arbeit_Deckenlicht TW_ABS	1/3/33					Auto
		OG_Arbeit_Deckenlicht TW_REL	1/3/34					Auto
		OG_Arbeit_Deckenlicht RGB_ABS	1/3/35					Auto
		OG_Arbeit_Deckenlicht RM_EA	1/3/36					Auto
		OG_Arbeit_Deckenlicht RM_DIM	1/3/37					Auto
		OG_Arbeit_Deckenlicht RM_TWRGB	1/3/38					Auto
		OG_Arbeit_Deckenlicht FEHLER	1/3/39					Auto
		OG_Kind1_Deckenlicht_Eingang EA	1/3/40					Auto
		OG_Kind1_Deckenlicht_Eingang DIM_REL	1/3/41					Auto
		OG_Kind1_Deckenlicht_Eingang DIM_ABS	1/3/42					Auto
		OG_Kind1_Deckenlicht_Eingang TW_ABS	1/3/43					Auto
		OG_Kind1_Deckenlicht_Eingang TW_REL	1/3/44					Auto
		OG_Kind1_Deckenlicht_Eingang RGB_ABS	1/3/45					Auto
		OG_Kind1_Deckenlicht_Eingang RM_EA	1/3/46					Auto
		OG_Kind1_Deckenlicht_Eingang RM_DIM	1/3/47					Auto
		OG_Kind1_Deckenlicht_Eingang RM_TWRGB	1/3/48					Auto
		OG_Kind1_Deckenlicht_Eingang FEHLER	1/3/49					Auto
		OG_Kind1_Deckenlicht_Zentral EA	1/3/50					Auto
		OG_Kind1_Deckenlicht_Zentral DIM_REL	1/3/51					Auto
		OG_Kind1_Deckenlicht_Zentral DIM_ABS	1/3/52					Auto
		OG_Kind1_Deckenlicht_Zentral TW_ABS	1/3/53					Auto
		OG_Kind1_Deckenlicht_Zentral TW_REL	1/3/54					Auto
		OG_Kind1_Deckenlicht_Zentral RGB_ABS	1/3/55					Auto
		OG_Kind1_Deckenlicht_Zentral RM_EA	1/3/56					Auto
		OG_Kind1_Deckenlicht_Zentral RM_DIM	1/3/57					Auto
		OG_Kind1_Deckenlicht_Zentral RM_TWRGB	1/3/58					Auto
		OG_Kind1_Deckenlicht_Zentral FEHLER	1/3/59					Auto
		OG_Kind1_Wandlampe_Bett EA	1/3/60					Auto
